Date,Close
22-11-2022,109.037
23-11-2022,108.841
24-11-2022,111.831
25-11-2022,108.977
28-11-2022,108.782
29-11-2022,110.910
30-11-2022,112.486
01-12-2022,110.926
02-12-2022,111.924
05-12-2022,109.401
06-12-2022,110.189
07-12-2022,109.069
08-12-2022,107.249
09-12-2022,107.520
12-12-2022,105.343
13-12-2022,103.540
14-12-2022,103.746
15-12-2022,103.738
16-12-2022,102.856
19-12-2022,104.740
20-12-2022,106.864
21-12-2022,107.433
22-12-2022,107.552
23-12-2022,109.698
26-12-2022,108.738
27-12-2022,108.578
28-12-2022,110.237
29-12-2022,109.735
02-01-2023,106.376
03-01-2023,104.166
04-01-2023,105.334
05-01-2023,107.641
06-01-2023,108.964
09-01-2023,109.130
10-01-2023,110.817
11-01-2023,112.517
12-01-2023,111.850
13-01-2023,110.916
16-01-2023,109.213
17-01-2023,111.439
18-01-2023,112.228
19-01-2023,112.922
20-01-2023,112.041
23-01-2023,111.737
24-01-2023,113.028
25-01-2023,114.270
26-01-2023,114.178
27-01-2023,112.316
30-01-2023,112.273
31-01-2023,113.431
01-02-2023,112.074
02-02-2023,110.141
03-02-2023,108.523
06-02-2023,108.722
07-02-2023,107.830
08-02-2023,109.951
09-02-2023,108.008
10-02-2023,108.078
13-02-2023,108.836
14-02-2023,107.849
15-02-2023,109.600
16-02-2023,109.941
17-02-2023,109.177
22-02-2023,107.152
23-02-2023,107.593
24-02-2023,105.798
27-02-2023,105.711
28-02-2023,104.932
01-03-2023,104.385
02-03-2023,103.326
03-03-2023,103.866
06-03-2023,104.700
07-03-2023,104.228
08-03-2023,106.540
09-03-2023,105.071
10-03-2023,103.618
13-03-2023,103.121
14-03-2023,102.932
15-03-2023,102.675
16-03-2023,103.435
17-03-2023,101.982
20-03-2023,100.923
21-03-2023,100.998
22-03-2023,100.221
23-03-2023,97.926
24-03-2023,98.829
27-03-2023,99.670
28-03-2023,101.185
29-03-2023,101.793
30-03-2023,103.713
31-03-2023,101.882
03-04-2023,101.506
04-04-2023,101.869
05-04-2023,100.978
06-04-2023,100.822
10-04-2023,101.847
11-04-2023,106.214
12-04-2023,106.890
13-04-2023,106.458
14-04-2023,106.279
17-04-2023,106.016
18-04-2023,106.163
19-04-2023,103.913
20-04-2023,104.367
24-04-2023,103.947
25-04-2023,103.220
26-04-2023,102.312
27-04-2023,102.923
28-04-2023,104.432
02-05-2023,101.927
03-05-2023,101.797
04-05-2023,102.174
05-05-2023,105.148
08-05-2023,106.042
09-05-2023,107.114
10-05-2023,107.448
11-05-2023,108.256
12-05-2023,108.464
15-05-2023,109.029
16-05-2023,108.194
17-05-2023,109.460
18-05-2023,110.108
19-05-2023,110.745
22-05-2023,110.213
23-05-2023,109.929
24-05-2023,108.800
25-05-2023,110.054
26-05-2023,110.906
29-05-2023,110.333
30-05-2023,108.967
31-05-2023,108.335
01-06-2023,110.565
02-06-2023,112.558
05-06-2023,112.696
06-06-2023,114.610
07-06-2023,115.488
09-06-2023,117.019
12-06-2023,117.336
13-06-2023,116.743
14-06-2023,119.069
15-06-2023,119.221
16-06-2023,118.758
19-06-2023,119.858
20-06-2023,119.622
21-06-2023,120.420
22-06-2023,118.934
23-06-2023,118.977
26-06-2023,118.243
27-06-2023,117.523
28-06-2023,116.681
29-06-2023,118.383
30-06-2023,118.087
03-07-2023,119.673
04-07-2023,119.076
05-07-2023,119.549
06-07-2023,117.426
07-07-2023,118.898
10-07-2023,117.942
11-07-2023,117.556
12-07-2023,117.666
13-07-2023,119.264
14-07-2023,117.711
17-07-2023,118.219
18-07-2023,117.841
19-07-2023,117.552
20-07-2023,118.083
21-07-2023,120.217
24-07-2023,121.342
25-07-2023,122.008
26-07-2023,122.560
27-07-2023,119.990
28-07-2023,120.187
31-07-2023,121.943
01-08-2023,121.248
02-08-2023,120.859
03-08-2023,120.586
04-08-2023,119.508
07-08-2023,119.380
08-08-2023,119.090
09-08-2023,118.409
10-08-2023,118.350
11-08-2023,118.065
14-08-2023,116.810
15-08-2023,116.171
16-08-2023,115.592
17-08-2023,114.982
18-08-2023,115.409
21-08-2023,114.429
22-08-2023,116.156
23-08-2023,118.135
24-08-2023,117.026
25-08-2023,115.837
28-08-2023,117.121
29-08-2023,118.404
30-08-2023,117.535
31-08-2023,115.742
01-09-2023,117.893
04-09-2023,117.777
05-09-2023,117.331
06-09-2023,115.985
08-09-2023,115.313
11-09-2023,116.883
12-09-2023,117.968
13-09-2023,118.176
14-09-2023,119.392
15-09-2023,118.758
18-09-2023,118.288
19-09-2023,117.846
20-09-2023,118.695
21-09-2023,116.145
22-09-2023,116.009
25-09-2023,115.925
26-09-2023,114.193
27-09-2023,114.327
28-09-2023,115.731
29-09-2023,116.565
02-10-2023,115.057
03-10-2023,113.419
04-10-2023,113.607
05-10-2023,113.284
06-10-2023,114.170
09-10-2023,115.156
10-10-2023,116.737
11-10-2023,117.051
13-10-2023,115.754
16-10-2023,116.534
17-10-2023,115.908
18-10-2023,114.060
19-10-2023,114.004
20-10-2023,113.155
23-10-2023,112.785
24-10-2023,113.762
25-10-2023,112.830
26-10-2023,114.777
27-10-2023,113.301
30-10-2023,112.532
31-10-2023,113.144
01-11-2023,115.053
03-11-2023,118.160
06-11-2023,118.431
07-11-2023,119.268
08-11-2023,119.177
09-11-2023,119.034
10-11-2023,120.568
13-11-2023,120.410
14-11-2023,123.166
16-11-2023,124.639
17-11-2023,124.773
20-11-2023,125.957
21-11-2023,125.626
22-11-2023,126.035
23-11-2023,126.576
24-11-2023,125.517
27-11-2023,125.731
28-11-2023,126.538
29-11-2023,126.166
30-11-2023,127.331
01-12-2023,128.185
04-12-2023,126.803
05-12-2023,126.903
06-12-2023,125.623
07-12-2023,126.010
08-12-2023,127.094
11-12-2023,126.916
12-12-2023,126.403
13-12-2023,129.465
14-12-2023,130.842
15-12-2023,130.197
18-12-2023,131.084
19-12-2023,131.851
20-12-2023,130.804
21-12-2023,132.182
22-12-2023,132.753
26-12-2023,133.533
27-12-2023,134.194
28-12-2023,134.185
