Data,Pressao,Temperatura,Umidade
2005-02-22,1009.8,26.9,74.3
2005-02-23,1011.4,28.9,71.2
2005-02-24,1012.5,28.9,67
2005-02-25,1011.5,28.4,73.4
2005-02-26,1010.7,28.1,72.8
2005-02-27,1011,28.5,68.6
2005-02-28,1011.7,27.6,73
2005-03-01,1011,28.1,69.8
2005-03-02,1010.8,28.4,69
2005-03-03,1012,28.9,68.2
2005-03-04,1012.7,29,63.1
2005-03-05,1013,28.5,68
2005-03-06,1011.8,28.2,66.7
2005-03-07,1011.1,27.9,66.4
2005-03-08,1011,26.7,71.8
2005-03-09,1010.3,27.2,67.8
2005-03-10,1011,27.8,70.5
2005-03-11,1011.5,28.7,70.9
2005-03-12,1010.6,28.8,67.2
2005-03-13,1010.1,28.5,68.9
2005-03-14,1009.8,28.5,67.2
2005-03-15,1009.5,28.7,65.4
2005-03-16,1010.7,28.3,68.6
2005-03-17,1010.2,28.6,68.2
2005-03-18,1010.2,28.2,71
2005-03-19,1010.7,28.4,70.2
2005-03-20,1011.4,27.6,74.9
2005-03-21,1011.2,27.7,72.7
2005-03-22,1011.3,27.2,74.4
2005-03-23,1012.1,27.6,72
2005-03-24,1011.6,27.7,74.1
2005-03-25,1011,27.9,71.1
2005-03-26,1009.9,28.2,70
2005-03-27,1010.1,26.9,79.9
2005-03-28,1010.3,26.5,82.6
2005-03-29,1010.3,27,79.6
2005-03-30,1010.6,26.5,82.5
2005-03-31,1010.5,27.2,78.3
2005-04-01,1011.1,27.3,75.8
2005-04-02,1011.7,25.8,85.6
2005-04-03,1012.4,26.2,82.3
2005-04-04,1012.8,27.7,71.6
2005-04-05,1012.7,27.3,71.5
2005-04-06,1012.3,28.3,69.6
2005-04-07,1011.3,27.7,74
2005-04-08,1011.1,27.6,71.7
2005-04-09,1010.7,26.2,76.8
2005-04-10,1010.2,26.3,79.2
2005-04-11,1009.6,26.4,77.3
2005-04-12,1010.2,26.3,77
2005-04-13,1010.8,27.2,75.7
2005-04-14,1010.8,27.9,72.5
2005-04-15,1011.2,27.1,77.8
2005-04-16,1011.8,26.7,78.2
2005-04-17,1011.7,26.5,77.4
2005-04-18,1010.4,26.2,78.9
2005-04-19,1010.6,26.7,79.5
2005-04-20,1011.2,27.4,74.3
2005-04-21,1011.1,27.9,70.1
2005-04-22,1010.5,27.3,70.6
2005-04-23,1010.5,26.1,76.8
2005-04-24,1010.9,26.8,74.1
2005-04-25,1010.6,26.7,76.4
2005-04-26,1010.9,27.2,75.8
2005-04-27,1010.9,27.5,75.4
2005-04-28,1012,26.7,80.6
2005-04-29,1012.6,26.9,80.8
2005-04-30,1012.4,26.9,78.6,
2005-05-01,1011.9,26.2,78.4
2005-05-02,1011.8,26.6,78.5
2005-05-03,1013,26.5,77.1
2005-05-04,1013.5,25.9,80.7
2005-05-05,1013.4,25.2,80.9
2005-05-06,1013,25.7,78
2005-05-07,1012.6,25.3,85.5
2005-05-08,1012,25.9,78.9
2005-05-09,1012.4,25.4,82.9
2005-05-10,1012,26.1,82.9
2005-05-11,1011.9,26,83.8
2005-05-12,1012.1,24.7,87.2
2005-05-13,1011.4,25.6,85.6
2005-05-14,1010.8,26,81.1
2005-05-15,1010.5,25.9,81.4
2005-05-16,1010.5,24.7,88.6
2005-05-17,1009.5,25.3,84.7
2005-05-18,1009.3,25.4,82.8
2005-05-19,1009.8,25.1,84.4
2005-05-20,1010.8,25.5,83.6
2005-05-21,1011.3,25.7,83
2005-05-22,1011,25.7,82.5
2005-05-23,1011.4,24.5,89.2
2005-05-24,1011.6,25.2,84.1
2005-05-25,1012.7,25,85
2005-05-26,1013.9,25.6,83.4
2005-05-27,1013.9,25.9,81.6
2005-05-28,1013.5,26.1,76.7
2005-05-29,1012.6,24.7,83.4
2005-05-30,1013.3,25.2,83.5
2005-05-31,1012.8,24.9,83.9
2005-06-01,1012.7,25.1,84.8
2005-06-02,1012.3,23.9,91.3
2005-06-03,1012.7,25.3,78.4
2005-06-04,1012.7,25.1,83.3
2005-06-05,1013.1,25.5,80.5
2005-06-06,1012.5,24.8,80.1
2005-06-07,1012,24.3,84.9
2005-06-08,1012.9,24.7,85.3
2005-06-09,1014.1,25.4,80.1
2005-06-10,1014,24,85.2
2005-06-11,1013.4,24.6,83
2005-06-12,1013.1,25.7,78.6
2005-06-13,1012.5,24.9,86.7
2005-06-14,1013.6,23.5,91.7
2005-06-15,1014.5,25.1,83.3
2005-06-16,1013.7,24.8,82.3
2005-06-17,1013.1,24.9,87.8
2005-06-18,1013.8,22.9,92.1
2005-06-19,1013.5,24.5,83.9
2005-06-20,1013.6,25.8,83.5
2005-06-21,1014,25.3,82.5
2005-06-22,1014,25.3,81
2005-06-23,1014.4,23.9,87.3
2005-06-24,1014.1,23.9,89
2005-06-25,1013.5,24.7,83.1
2005-06-26,1013.8,24.4,81.9
2005-06-27,1013.7,23.7,87.6
2005-06-28,1014.5,24.2,83.5
2005-06-29,1014.4,25.5,73.3
2005-06-30,1014.1,24.5,80.2
2005-07-01,1014.2,23,88.9
2005-07-02,1015.4,23.9,82.9
2005-07-03,1015.3,24.7,82.8
2005-07-04,1014.4,24.8,75.7
2005-07-05,1014.7,23.9,81.8
2005-07-06,1015.6,24.6,80.7
2005-07-07,1015.7,24.4,84.3
2005-07-08,1015.9,24.6,77.7
2005-07-09,1016.1,23.5,84.5
2005-07-10,1015.4,23.7,80.9
2005-07-11,1015.4,25.5,74.2
2005-07-12,1015.8,23.9,76.6
2005-07-13,1015.3,22.4,84.1
2005-07-14,1014.9,23.5,79
2005-07-15,1015.7,24.9,66.9
2005-07-16,1015.7,24.3,70.2
2005-07-17,1015.5,23.6,79.5
2005-07-18,1014.8,22.7,89
2005-07-19,1014.5,24.5,82
2005-07-20,1014.7,25,80.3
2005-07-21,1014.9,25.4,67.3
2005-07-22,1015.6,24.1,79.4
2005-07-23,1015.5,23.8,76.1
2005-07-24,1016.4,23.8,76.4
2005-07-25,1016.7,25.3,68.7
2005-07-26,1017.5,24.2,76.5
2005-07-27,1017.3,23.6,79.7
2005-07-28,1017.6,22.7,85.4
2005-07-29,1017.2,23.4,76.9
2005-07-30,1016.7,23.6,80.1
2005-07-31,1016,24.1,72
2005-08-01,1015.5,22.5,84.3
2005-08-02,1015,22.9,84.7
2005-08-03,1015.1,23.4,82.5
2005-08-04,1016,24.4,80
2005-08-05,1016.4,23.4,84.8
2005-08-06,1016.1,24.8,75
2005-08-07,1015.9,23.8,74.5
2005-08-08,1015.7,23.5,78,
2005-08-09,1015.8,23.7,80.2
2005-08-10,1016.2,23.5,83.2
2005-08-11,1016.4,24.1,79.5
2005-08-12,1015,23.9,82.4,
2005-08-13,1014.6,23.4,79.8
2005-08-14,1015,24.2,80.3
2005-08-15,1016.2,23,89.9
2005-08-16,1015.8,24.3,77.5
2005-08-17,1015.2,23.8,79.7
2005-08-18,1015.5,23.9,79.7
2005-08-19,1015.8,24.8,70.8
2005-08-20,1015.6,23.3,83.8
2005-08-21,1014.8,23,85.8
2005-08-22,1015.1,24.3,78.7
2005-08-23,1015.2,23,88.3
2005-08-24,1015.2,23,90.5
2005-08-25,1014.9,23.4,84.8
2005-08-26,1014.7,24,79
2005-08-27,1015.4,23.7,79.6
2005-08-28,1014.7,24.3,82.7
2005-08-29,1013.9,25.3,74.3
2005-08-30,1012,25.7,71.8
2005-08-31,1014.2,25.3,72
2005-09-01,1013.5,25.4,72.1
2005-09-02,1014.3,24.6,78.5
2005-09-03,1014.6,24.9,78.5
2005-09-04,1015.1,24.9,75.5
2005-09-05,1014.7,24.7,77.1
2005-09-06,1014.6,24.7,80.2
2005-09-07,1015.5,24.3,79.7
2005-09-08,1016.5,25.6,71.5
2005-09-09,1017,25.5,68
2005-09-10,1016.6,25.4,65.8
2005-09-11,1016,24.7,72.4
2005-09-12,1015.4,25.4,68.4
2005-09-13,1014.7,24.7,79.6
2005-09-14,1015,24.6,75.2
2005-09-15,1016.1,24.3,76.7
2005-09-16,1015.8,23.7,74.8
2005-09-17,1014.4,24.6,71.3
2005-09-18,1014.7,23.6,78
2005-09-19,1015.6,24.5,75.8
2005-09-20,1014.6,24.3,74.6
2005-09-21,1011.9,24.1,76.2
2005-09-22,1011.5,24.5,77.6
2005-09-23,1013,24.6,75
2005-09-24,1013.4,24.3,75.6
2005-09-25,1014.1,25.9,68.9
2005-09-26,1014.2,26.3,72
2005-09-27,1015.1,26.2,73
2005-09-28,1015.1,25.6,70.4
2005-09-29,1013.6,25.9,71.6
2005-09-30,1014.1,24.9,74
2005-10-01,1014.3,25.6,72.2
2005-10-02,1013.5,24.9,74.7
2005-10-03,1013.4,null,72
2005-10-04,1013.1,26.1,73.9
2005-10-05,1013.7,26,74.8
2005-10-06,1015.3,26.3,69
2005-10-07,1015.7,24.8,78.7
2005-10-08,1015.6,25.7,71.4
2005-10-09,1014.4,24.6,73.5
2005-10-10,1013.6,23.7,80.8
2005-10-11,1013.4,null,80.3
2005-10-12,1013.8,25.2,73.5
2005-10-13,1013.8,26,71.3
2005-10-14,1014.2,26,69.4
2005-10-15,1013.7,25.5,70.9
2005-10-16,1013.1,25.5,72.8
2005-10-17,1012.9,26,71.2
2005-10-18,1013.1,26.5,67.2
2005-10-19,1014.2,26.2,67.1
2005-10-20,1013.9,26.2,67.3
2005-10-21,1013.1,26.5,68.5
2005-10-22,1012.9,26.3,68.2
2005-10-23,1013,26.1,68.3
2005-10-24,1013.1,26.1,66.9
2005-10-25,1012.7,26.1,68.6
2005-10-26,1012.2,25.7,75.7
2005-10-27,1012.2,null,71.8
2005-10-28,1012.3,26.5,66.7
2005-10-29,1012,25.3,72.1
2005-10-30,1012,null,72.5
2005-10-31,null,null,null
2005-11-01,null,null,null
2005-11-02,1014.5,25.8,71.8
2005-11-03,1015,26.8,66.3
2005-11-04,1013.9,26.1,68.3
2005-11-05,1013.2,24.1,78.3,
2005-11-06,1012.5,26.1,67.7,
2005-11-07,1012.2,25.7,67.9,
2005-11-08,1012.1,26.9,66.8,
2005-11-09,1012.2,26.6,70.9,
2005-11-10,1011.6,26.6,66.7,
2005-11-11,1010.6,25.9,68.5,
2005-11-12,1009.9,26.4,67.5,
2005-11-13,1010,25.6,72.5,
2005-11-14,1010.2,27,65.8,
2005-11-15,1011.6,25.8,72.5,
2005-11-16,1011.6,26.8,66.9,
2005-11-17,1010.8,26.6,70,
2005-11-18,1010.7,26.8,66,
2005-11-19,1011.6,null,69.1,
2005-11-20,1011.5,26.2,70.8,
2005-11-21,1010.1,26.9,67.4,
2005-11-22,1009.8,27,71.2,
2005-11-23,1010.4,27.4,69.5,
2005-11-24,1011.1,27.6,70.9,
2005-11-25,1011,27.2,66.3,
2005-11-26,1009.3,27.2,68.9,
2005-11-27,1009,27.6,68.9,
2005-11-28,1010.1,27.6,64.5,
2005-11-29,1011.6,27.2,68.7,
2005-11-30,1011.6,27.1,65.8,
2005-12-01,1010.4,27.1,65.2,
2005-12-02,1008.9,26.8,67.8,
2005-12-03,1008.7,27,73,
2005-12-04,1008.9,27.4,72.7,
2005-12-05,1007.9,27.6,70.2,
2005-12-06,1006.8,25.8,81.5,
2005-12-07,1007.6,26.4,78.2,
2005-12-08,1010,26.5,75.6,
2005-12-09,1011.6,27.1,68.8,
2005-12-10,1011.1,25.6,75.6,
2005-12-11,1009.8,25.8,77.4,
2005-12-12,1010,26.7,71.9,
2005-12-13,1010.1,26.9,66.1,
2005-12-14,1010.3,25.2,77,
2005-12-15,1009.9,25.8,75.8,
2005-12-16,1010.8,26.5,71.4,
2005-12-17,null,null,70.2,
2005-12-18,1011.7,26.9,73,
2005-12-19,1011.5,26.9,73.5,
2005-12-20,1012.1,26.9,68.1,
2005-12-21,1012.3,27,66.1,
2005-12-22,1012.6,26.1,69.8,
2005-12-23,1012.3,26.2,70.8,
2005-12-24,1011.4,26.7,65.4,
2005-12-25,1011.3,25.7,69.1,
2005-12-26,1011.1,25.9,70.3,
2005-12-27,1010.1,26.5,72.5,
2005-12-28,1010.5,26.4,71.5,
2005-12-29,1010.5,26.5,71,
2005-12-30,1010.7,26.3,72.2,
2005-12-31,1010.8,26.4,73.5,
2006-01-01,1010.7,26.3,71.7,
2006-01-02,1010.9,25.4,74.3,
2006-01-03,1010.4,26.3,73.9,
2006-01-04,1009.1,26.8,69.5,
2006-01-05,1008.7,27.2,66.1,
2006-01-06,1009.6,26.5,69.4,
2006-01-07,1010.3,25.9,70.1,
2006-01-08,1010.5,26.1,65.5,
2006-01-09,1010.9,25.7,75.2,
2006-01-10,1011.5,27.3,67.2,
2006-01-11,1012,26.5,67.9,
2006-01-12,1012.1,27.1,68,
2006-01-13,1012.6,27.2,67.8,
2006-01-14,1012,26.7,67,
2006-01-15,1011.7,25.7,69.2,
2006-01-16,1011.3,25.9,74.8,
2006-01-17,1011,26.7,74,
2006-01-18,1010.6,26.9,69.8,
2006-01-19,1009.3,26.2,70.4,
2006-01-20,1009.5,25.5,71.5,
2006-01-21,1010.7,27.4,65.9,
2006-01-22,1010.7,27.4,65.5,
2006-01-23,1011,27.1,69.3,
2006-01-24,1011.5,27.3,68.3,
2006-01-25,1012.1,27.5,69.2,
2006-01-26,1012.2,27.7,66.3,
2006-01-27,1012.2,27.8,67.5,
2006-01-28,1012.1,27.7,67.8,
2006-01-29,1011.1,27.2,69.2,
2006-01-30,1010.5,27.1,71.7,
2006-01-31,1010.5,27.7,64.9,
2006-02-01,1010.5,26.9,64,
2006-02-02,1010.5,27,69.6,
2006-02-03,1009.8,27.8,67,
2006-02-04,1009.1,27.5,68.5,
2006-02-05,1009.7,27.9,63.3,
2006-02-06,1010.2,27.8,66.3,
2006-02-07,1010.4,27.5,68.9,
2006-02-08,1010.4,27.1,71.2,
2006-02-09,1011.3,27.9,65.6,
2006-02-10,1011.8,27.6,67.1,
2006-02-11,1012.1,null,67.6,
2006-02-12,1011.3,26.5,70.3,
2006-02-13,1011.2,26.9,73.3,
2006-02-14,1010.8,27.6,72.9,
2006-02-15,1010.5,27,70.8,
2006-02-16,1010,27.6,68.9,
2006-02-17,1010.1,28.1,67.2,
2006-02-18,1011.1,27.9,71,
2006-02-19,1012.1,28.1,68.1,
2006-02-20,1011,27.4,64.5,
2006-02-21,1009.8,26.9,70.9,
2006-02-22,1009.9,26.7,77.2,
2006-02-23,1010,27.3,75,
2006-02-24,1010,27.4,74.1,
2006-02-25,1010.3,26.9,76.1,
2006-02-26,1009.5,null,75.4,
2006-02-27,null,null,null,
2006-02-28,null,null,null,
2006-03-01,1010.7,27.5,71.1,
2006-03-02,1011.5,27.4,73.5,
2006-03-03,1012.1,25.8,81,
2006-03-04,1012.1,27.5,77.1,
2006-03-05,null,null,70.6,
2006-03-06,null,null,null,
2006-03-07,null,null,null,
2006-03-08,null,null,null,
2006-03-09,null,null,null,
2006-03-10,null,null,null,
2006-03-11,null,null,null,
2006-03-12,null,null,null,
2006-03-13,null,null,null,
2006-03-14,null,null,null,
2006-03-15,null,null,null,
2006-03-16,1010.7,27.6,71.1,
2006-03-17,1009.6,27.8,72.9,
2006-03-18,1009.5,27.6,73.7,
2006-03-19,1009.9,27,76.2,
2006-03-20,1010.3,26.5,80.1,
2006-03-21,1010.6,26.5,76.2,
2006-03-22,1010.7,26.9,75.7,
2006-03-23,1010.5,26.4,81.3,
2006-03-24,1010.4,26.3,79,
2006-03-25,1010.9,26.7,78.6,
2006-03-26,1011,27.1,79.4,
2006-03-27,1011.6,27.4,78.2,
2006-03-28,1011.2,27.5,75,
2006-03-29,1010.3,27.2,74.6,
2006-03-30,null,null,79.8,
2006-03-31,null,null,null,
2006-04-01,null,null,null,
2006-04-02,1010.5,25.9,82.1,
2006-04-03,null,null,null,
2006-04-04,1010.1,27,73.8,
2006-04-05,1010.2,26.8,78.6,
2006-04-06,1009.6,27.3,78.8,
2006-04-07,1009.1,27.6,74.3,
2006-04-08,1008.5,27.7,74,
2006-04-09,1008.1,25.3,85.7,
2006-04-10,1007.7,26.2,78.3,
2006-04-11,1008.4,26.6,78.4,
2006-04-12,1009.1,26.3,78.8,
2006-04-13,1008.4,26.6,81,
2006-04-14,1007.7,26.5,81.5,
2006-04-15,1008.9,26.3,79.5,
2006-04-16,null,null,null,
2006-04-17,null,null,null,
2006-04-18,1010,25.8,82.6,
2006-04-19,1010.8,26.4,80.1,
2006-04-20,1010.3,26.5,80.1,
2006-04-21,1010.7,26.4,79,
2006-04-22,1010.7,26.9,77.5
2006-04-23,1010.5,25.1,87.8,
2006-04-24,1009.4,25.8,84.2,
2006-04-25,1008.8,26.2,82.7,
2006-04-26,1009.1,26.3,80.8,
2006-04-27,1009.1,26.2,80.3,
2006-04-28,1009.4,26.1,81.9,
2006-04-29,1008.9,26.5,81,
2006-04-30,1009.5,25.2,88.2,
2006-05-01,1011.1,25.2,86.8,
2006-05-02,1011.5,26.3,82.7,
2006-05-03,1010.1,null,80.1,
2006-05-04,1009.6,25.6,84.9,
2006-05-05,null,null,null,
2006-05-06,null,null,null,
2006-05-07,1010.3,26.6,77.2,
2006-05-08,1010.4,25.8,79.7,
2006-05-09,1010.3,26.2,80,
2006-05-10,null,null,77.2,
2006-05-11,1010.1,25.6,77.8,
2006-05-12,null,null,null,
2006-05-13,null,null,null,
2006-05-14,null,null,null,
2006-05-15,null,null,null,
2006-05-16,null,null,null,
2006-05-17,null,null,null,
2006-05-18,null,null,null,
2006-05-19,null,null,null,
2006-05-20,1011.7,24.7,78.3,
2006-05-21,null,null,null,
2006-05-22,null,null,null,
2006-05-23,null,null,null,
2006-05-24,1013.3,24.7,80.4,
2006-05-25,1012.5,25.3,84.4,
2006-05-26,null,null,79.1,
2006-05-27,null,null,null,
2006-05-28,null,null,null,
2006-05-29,null,null,null,
2006-05-30,null,null,null,
2006-05-31,null,null,null,
2006-06-01,1014.1,24.4,76.8,
2006-06-02,1014.5,23.5,84.4,
2006-06-03,1014,24.8,77.5
2006-06-04,1013.2,24.9,79.7,
2006-06-05,1012.1,24.9,82.6,
2006-06-06,1012.8,24.9,80.4,
2006-06-07,1013,23.7,89.9,
2006-06-08,1013.2,24.1,83.2,
2006-06-09,1012.2,24.5,81.7,
2006-06-10,1011.3,24.9,79.2,
2006-06-11,1010.9,24.2,83.1,
2006-06-12,1012.3,24.6,82.2,
2006-06-13,1013.9,24.5,84,
2006-06-14,1014,25,78.3,
2006-06-15,1013.9,24.2,82.5,
2006-06-16,1014.2,25.4,79.6,
2006-06-17,1014.7,24.6,84.5,
2006-06-18,1014.7,25,82.8,
2006-06-19,1014.7,25.9,70,
2006-06-20,1014.9,25.4,72.4,
2006-06-21,1015,23.5,89.1,
2006-06-22,1014.8,24.7,78.8,
2006-06-23,1014.2,24.6,79.3,
2006-06-24,1014.1,23.9,83.4,
2006-06-25,1014.5,24.9,79,
2006-06-26,1014.7,23.8,86.3,
2006-06-27,1015.8,23.7,89.3,
2006-06-28,1016.6,24.4,84.1,
2006-06-29,1016.6,24.6,80.1,
2006-06-30,1016.4,24.5,79.8,
2006-07-01,1016.2,24.4,79.8,
2006-07-02,1016.1,25.4,73.1,
2006-07-03,1016.4,25.3,72,
2006-07-04,1016.6,null,79.3,
2006-07-05,1016.1,23.3,84.3,
2006-07-06,1016.8,24.5,80.9,
2006-07-07,1017.1,23.5,84.8,
2006-07-08,1015.7,22.6,88.6,
2006-07-09,1014.9,24.3,80.5,
2006-07-10,1014.9,24.1,78.6,
2006-07-11,1015.2,23.9,86.5,
2006-07-12,1015.2,25.2,78.8,
2006-07-13,1015.5,24.3,75.5,
2006-07-14,1014.8,23.8,79,
2006-07-15,1015,24.3,79.6,
2006-07-16,1014.8,24.2,83.2,
2006-07-17,1015.5,23.5,84.9,
2006-07-18,1015.3,23.7,79.6,
2006-07-19,1015.6,23.3,80.5,
2006-07-20,1016.6,23.2,78.7,
2006-07-21,1016.7,23.4,78.8,
2006-07-22,1015.2,23.6,78.7,
2006-07-23,1013.7,23.7,80.7,
2006-07-24,1013.5,22.6,86.5,
2006-07-25,1013,23,86.6,
2006-07-26,1013.3,24.1,83.2,
2006-07-27,1014.4,23.5,78.7,
2006-07-28,1014.3,23.8,81.2,
2006-07-29,1013.5,24.4,80.6,
2006-07-30,1014.3,24.6,81.6,
2006-07-31,1016.8,24.8,81.1,
2006-08-01,1017.8,25.3,72.4,
2006-08-02,1016.7,23.7,76.5,
2006-08-03,1016,22.6,82.8,
2006-08-04,1015.3,23,81.9,
2006-08-05,1015.6,23.2,73.8,
2006-08-06,1015.5,24.6,69.8,
2006-08-07,1014.7,24.1,74.8,
2006-08-08,1014.4,23.5,80.2,
2006-08-09,1014.4,24.5,83.4,
2006-08-10,1014.8,25.2,75.9,
2006-08-11,1014.7,23.9,77.3,
2006-08-12,1015.2,23.2,84,
2006-08-13,1014.7,24.9,74,
2006-08-14,1014.4,24,75,
2006-08-15,1014.9,null,81.1,
2006-08-16,1014.6,23.2,87.5,
2006-08-17,1014.6,24.4,76,
2006-08-18,1014.2,23.8,79.8,
2006-08-19,1013.6,23.6,78.8,
2006-08-20,1014.1,23.8,79.3,
2006-08-21,1014.3,24.6,78.5,
2006-08-22,1015.6,25.1,77.3,
2006-08-23,1016.2,25.8,70.3,
2006-08-24,1015.5,24.7,74.3,
2006-08-25,1015,24.8,71.2,
2006-08-26,1014.3,25.4,61.3,
2006-08-27,1013.8,23.9,76.7,
2006-08-28,1013.8,23.9,76.7,
2006-08-29,1013.8,23.7,78.3,
2006-08-30,1013.8,24.6,79.5,
2006-08-31,1015.2,22.8,88.3,
2006-09-01,1013.8,23.5,81.2,
2006-09-02,1012.3,23.9,78.6,
2006-09-03,1012.1,24.9,78.4,
2006-09-04,1013.6,24.9,76.9,
2006-09-05,1015,25.3,73.3,
2006-09-06,1015.7,24.3,76.5,
2006-09-07,1015.5,24.4,74.7,
2006-09-08,1014.9,24.2,77.3,
2006-09-09,1014.9,24.3,77.4,
2006-09-10,1015.6,24.8,78.8,
2006-09-11,1016,24.9,75.9,
2006-09-12,1015.3,25,66.3,
2006-09-13,1015.3,23.2,79,
2006-09-14,1015.2,24.4,73.8,
2006-09-15,1015.3,24.2,76.9,
2006-09-16,1014.9,25.7,75.1,
2006-09-17,1015.2,25.8,72.7,
2006-09-18,1014.8,25.5,71.6,
2006-09-19,1014.2,25.4,73,
2006-09-20,1014.4,25.4,71.1,
2006-09-21,1014.6,25.2,74.3,
2006-09-22,1015,25.9,72.3,
2006-09-23,1014.4,24.9,75,
2006-09-24,1013.3,25,70.9,
2006-09-25,1014.8,24.7,73.2,
2006-09-26,1014.9,25.1,76,
2006-09-27,1015.6,25.5,73.2,
2006-09-28,1014.7,25.7,65.4,
2006-09-29,1014.4,25,69.2,
2006-09-30,1015,24.5,74.6,
2006-10-01,1014.7,26,71.9,
2006-10-02,1013.6,25.9,69.5,
2006-10-03,1012.5,25.3,70.9,
2006-10-04,1012.2,25.5,69.8,
2006-10-05,1013.3,26.6,65.4,
2006-10-06,1013.7,26.5,67.6,
2006-10-07,1013.8,26.7,69.3,
2006-10-08,1013.1,26.4,68.2,
2006-10-09,1014.4,26.3,67.4,
2006-10-10,1014.9,26.6,67.4,
2006-10-11,1014.1,26.2,71.5,
2006-10-12,1012.6,26.4,68.4,
2006-10-13,1011.5,25.9,66.9,
2006-10-14,1011.1,25.6,74.2,
2006-10-15,1011.2,27.1,71.3,
2006-10-16,1011.5,27,66.1,
2006-10-17,1011.3,26.9,69.3,
2006-10-18,1011.1,26.8,68.8,
2006-10-19,1011.3,27,66.8,
2006-10-20,1011.4,26,69.3,
2006-10-21,1011.8,25.9,71.9,
2006-10-22,1012.8,27,66.5,
2006-10-23,1013.8,26.6,66.7,
2006-10-24,1014.4,26.7,66.7,
2006-10-25,1014.1,26.3,71.3,
2006-10-26,1013.2,26.6,68.4,
2006-10-27,1011.5,26.3,66.7,
2006-10-28,1010.7,26,66.6,
2006-10-29,1010.4,26.2,66.9,
2006-10-30,1010.2,26.6,65.9,
2006-10-31,1010.7,26.6,67.1,
2006-11-01,1011.5,25.8,70.3,
2006-11-02,1011.3,26.7,72.1,
2006-11-03,1011.2,26.5,64.4,
2006-11-04,1010.2,25.6,66.4,
2006-11-05,1010,null,64.6,
2006-11-06,1010,27.5,64.7,
2006-11-07,1009.6,26.8,69.3,
2006-11-08,1008.6,27.4,69.9,
2006-11-09,1009.6,26.7,68.7,
2006-11-10,1009.8,26.8,69.3,
2006-11-11,1010.7,26.5,67.9,
2006-11-12,1012.3,27,70.4,
2006-11-13,1012.3,27.3,67.5,
2006-11-14,1011.5,27.2,64.3,
2006-11-15,1011.6,26.1,76.5,
2006-11-16,1012.1,26,75.5,
2006-11-17,1011.9,25.9,74.4,
2006-11-18,1011.9,25.8,75.4,
2006-11-19,1012.2,26,75.9,
2006-11-20,1012.7,26.5,73.1,
2006-11-21,1012.7,27.2,67,
2006-11-22,1011.6,26.5,68.7,
2006-11-23,1011.3,26.8,69.8,
2006-11-24,1011.8,27.2,66.8,
2006-11-25,1011.9,26.8,68.3,
2006-11-26,1011.8,26,73.3,
2006-11-27,1010.7,26.2,70.1,
2006-11-28,1010.2,26.8,70.5,
2006-11-29,1010.3,27.2,68.3,
2006-11-30,1010.7,26.6,71.1,
2006-12-01,1010.3,26.1,70.2,
2006-12-02,1010.6,26.5,73.2,
2006-12-03,1011.1,27,67.3,
